office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
President/Vice President,,McMullin,PEC,county,Linn,,922
President/Vice President,,Castle,CST,county,Linn,,265
President/Vice President,,Kahn,Oth,county,Linn,,133
President/Vice President,,Vacek,LMN,county,Linn,,119
President/Vice President,,De La Fuente,PEC,county,Linn,,34
President/Vice President,,La Riva,PSL,county,Linn,,23
President/Vice President,,Trump,GOP,county,Louisa,,3060
President/Vice President,,Clinton,Dem,county,Louisa,,1643
President/Vice President,,Johnson,Lib,county,Louisa,,134
President/Vice President,,McMullin,PEC,county,Louisa,,39
President/Vice President,,Stein,Grn,county,Louisa,,28
President/Vice President,,Castle,CST,county,Louisa,,26
President/Vice President,,Kahn,Oth,county,Louisa,,5
President/Vice President,,Vacek,LMN,county,Louisa,,4
President/Vice President,,La Riva,PSL,county,Louisa,,3
President/Vice President,,De La Fuente,PEC,county,Louisa,,1
President/Vice President,,Trump,GOP,county,Lucas,,2873
President/Vice President,,Clinton,Dem,county,Lucas,,1236
President/Vice President,,Johnson,Lib,county,Lucas,,115
President/Vice President,,Stein,Grn,county,Lucas,,28
President/Vice President,,Castle,CST,county,Lucas,,18
President/Vice President,,McMullin,PEC,county,Lucas,,16
President/Vice President,,Vacek,LMN,county,Lucas,,6
President/Vice President,,Kahn,Oth,county,Lucas,,4
President/Vice President,,La Riva,PSL,county,Lucas,,1
President/Vice President,,De La Fuente,PEC,county,Lucas,,0
President/Vice President,,Trump,GOP,county,Lyon,,5188
President/Vice President,,Clinton,Dem,county,Lyon,,917
President/Vice President,,Johnson,Lib,county,Lyon,,137
President/Vice President,,McMullin,PEC,county,Lyon,,33
President/Vice President,,Castle,CST,county,Lyon,,18
President/Vice President,,Stein,Grn,county,Lyon,,18
President/Vice President,,Kahn,Oth,county,Lyon,,16
President/Vice President,,Vacek,LMN,county,Lyon,,7
President/Vice President,,De La Fuente,PEC,county,Lyon,,1
President/Vice President,,La Riva,PSL,county,Lyon,,1
President/Vice President,,Trump,GOP,county,Davis,,2721
President/Vice President,,Clinton,Dem,county,Davis,,976
President/Vice President,,Johnson,Lib,county,Davis,,85
President/Vice President,,Stein,Grn,county,Davis,,25
President/Vice President,,McMullin,PEC,county,Davis,,20
President/Vice President,,Castle,CST,county,Davis,,17
President/Vice President,,Kahn,Oth,county,Davis,,7
President/Vice President,,Vacek,LMN,county,Davis,,6
President/Vice President,,De La Fuente,PEC,county,Davis,,1
President/Vice President,,La Riva,PSL,county,Davis,,0
President/Vice President,,Trump,GOP,county,Decatur,,2296
President/Vice President,,Clinton,Dem,county,Decatur,,1201
President/Vice President,,Johnson,Lib,county,Decatur,,123
President/Vice President,,Stein,Grn,county,Decatur,,29
President/Vice President,,Castle,CST,county,Decatur,,26
President/Vice President,,McMullin,PEC,county,Decatur,,20
President/Vice President,,Kahn,Oth,county,Decatur,,5
President/Vice President,,Vacek,LMN,county,Decatur,,1
President/Vice President,,De La Fuente,PEC,county,Decatur,,1
President/Vice President,,La Riva,PSL,county,Decatur,,1
President/Vice President,,Trump,GOP,county,Delaware,,5688
President/Vice President,,Clinton,Dem,county,Delaware,,2956
President/Vice President,,Johnson,Lib,county,Delaware,,337
President/Vice President,,McMullin,PEC,county,Delaware,,47
President/Vice President,,Stein,Grn,county,Delaware,,40
President/Vice President,,Kahn,Oth,county,Delaware,,39
President/Vice President,,Castle,CST,county,Delaware,,38
President/Vice President,,Vacek,LMN,county,Delaware,,18
President/Vice President,,La Riva,PSL,county,Delaware,,2
President/Vice President,,De La Fuente,PEC,county,Delaware,,0
President/Vice President,,Trump,GOP,county,Des Moines,,9479
President/Vice President,,Clinton,Dem,county,Des Moines,,8178
President/Vice President,,Johnson,Lib,county,Des Moines,,633
President/Vice President,,Stein,Grn,county,Des Moines,,132
President/Vice President,,McMullin,PEC,county,Des Moines,,130
President/Vice President,,Castle,CST,county,Des Moines,,73
President/Vice President,,Kahn,Oth,county,Des Moines,,40
President/Vice President,,Vacek,LMN,county,Des Moines,,36
President/Vice President,,De La Fuente,PEC,county,Des Moines,,8
President/Vice President,,La Riva,PSL,county,Des Moines,,4
President/Vice President,,Trump,GOP,county,Johnson,,20993
President/Vice President,,Clinton,Dem,county,Johnson,,49942
President/Vice President,,Johnson,Lib,county,Johnson,,2743
President/Vice President,,Stein,Grn,county,Johnson,,874
President/Vice President,,McMullin,PEC,county,Johnson,,711
President/Vice President,,Castle,CST,county,Johnson,,130
President/Vice President,,Vacek,LMN,county,Johnson,,124
President/Vice President,,Kahn,Oth,county,Johnson,,67
President/Vice President,,La Riva,PSL,county,Johnson,,35
President/Vice President,,De La Fuente,PEC,county,Johnson,,18
President/Vice President,,Trump,GOP,county,Jefferson,,3738
President/Vice President,,Clinton,Dem,county,Jefferson,,3702
President/Vice President,,Stein,Grn,county,Jefferson,,255
President/Vice President,,Johnson,Lib,county,Jefferson,,246
President/Vice President,,McMullin,PEC,county,Jefferson,,25
President/Vice President,,Castle,CST,county,Jefferson,,22
President/Vice President,,Kahn,Oth,county,Jefferson,,6
President/Vice President,,Vacek,LMN,county,Jefferson,,5
President/Vice President,,La Riva,PSL,county,Jefferson,,2
President/Vice President,,De La Fuente,PEC,county,Jefferson,,0
President/Vice President,,Trump,GOP,county,Keokuk,,3385
President/Vice President,,Clinton,Dem,county,Keokuk,,1265
President/Vice President,,Johnson,Lib,county,Keokuk,,139
President/Vice President,,Stein,Grn,county,Keokuk,,28
President/Vice President,,Castle,CST,county,Keokuk,,17
President/Vice President,,McMullin,PEC,county,Keokuk,,15
President/Vice President,,Kahn,Oth,county,Keokuk,,6
President/Vice President,,Vacek,LMN,county,Keokuk,,1
President/Vice President,,De La Fuente,PEC,county,Keokuk,,1
President/Vice President,,La Riva,PSL,county,Keokuk,,1
President/Vice President,,Trump,GOP,county,Jones,,5718
President/Vice President,,Clinton,Dem,county,Jones,,3779
President/Vice President,,Johnson,Lib,county,Jones,,305
President/Vice President,,Stein,Grn,county,Jones,,62
President/Vice President,,McMullin,PEC,county,Jones,,49
President/Vice President,,Castle,CST,county,Jones,,40
President/Vice President,,Vacek,LMN,county,Jones,,31
President/Vice President,,Kahn,Oth,county,Jones,,24
President/Vice President,,La Riva,PSL,county,Jones,,2
President/Vice President,,De La Fuente,PEC,county,Jones,,1
President/Vice President,,Trump,GOP,county,Kossuth,,5637
President/Vice President,,Clinton,Dem,county,Kossuth,,2529
President/Vice President,,Johnson,Lib,county,Kossuth,,193
President/Vice President,,McMullin,PEC,county,Kossuth,,36
President/Vice President,,Stein,Grn,county,Kossuth,,33
President/Vice President,,Kahn,Oth,county,Kossuth,,28
President/Vice President,,Vacek,LMN,county,Kossuth,,25
President/Vice President,,Castle,CST,county,Kossuth,,22
President/Vice President,,De La Fuente,PEC,county,Kossuth,,1
President/Vice President,,La Riva,PSL,county,Kossuth,,1
President/Vice President,,Trump,GOP,county,Cass,,4755
President/Vice President,,Clinton,Dem,county,Cass,,1946
President/Vice President,,Johnson,Lib,county,Cass,,206
President/Vice President,,Stein,Grn,county,Cass,,52
President/Vice President,,McMullin,PEC,county,Cass,,50
President/Vice President,,Castle,CST,county,Cass,,25
President/Vice President,,Kahn,Oth,county,Cass,,13
President/Vice President,,Vacek,LMN,county,Cass,,8
President/Vice President,,De La Fuente,PEC,county,Cass,,0
President/Vice President,,La Riva,PSL,county,Cass,,0
President/Vice President,,Trump,GOP,county,Calhoun,,3466
President/Vice President,,Clinton,Dem,county,Calhoun,,1396
President/Vice President,,Johnson,Lib,county,Calhoun,,172
President/Vice President,,Castle,CST,county,Calhoun,,29
President/Vice President,,Stein,Grn,county,Calhoun,,18
President/Vice President,,McMullin,PEC,county,Calhoun,,17
President/Vice President,,Kahn,Oth,county,Calhoun,,4
President/Vice President,,Vacek,LMN,county,Calhoun,,2
President/Vice President,,La Riva,PSL,county,Calhoun,,1
President/Vice President,,De La Fuente,PEC,county,Calhoun,,0
President/Vice President,,Trump,GOP,county,Carroll,,6627
President/Vice President,,Clinton,Dem,county,Carroll,,3305
President/Vice President,,Johnson,Lib,county,Carroll,,317
President/Vice President,,Stein,Grn,county,Carroll,,58
President/Vice President,,McMullin,PEC,county,Carroll,,54
President/Vice President,,Castle,CST,county,Carroll,,41
President/Vice President,,Kahn,Oth,county,Carroll,,19
President/Vice President,,Vacek,LMN,county,Carroll,,13
President/Vice President,,De La Fuente,PEC,county,Carroll,,1
President/Vice President,,La Riva,PSL,county,Carroll,,0
President/Vice President,,Trump,GOP,county,Buena Vista,,4895
President/Vice President,,Clinton,Dem,county,Buena Vista,,2851
President/Vice President,,Johnson,Lib,county,Buena Vista,,287
President/Vice President,,McMullin,PEC,county,Buena Vista,,58
President/Vice President,,Stein,Grn,county,Buena Vista,,47
President/Vice President,,Castle,CST,county,Buena Vista,,23
President/Vice President,,Kahn,Oth,county,Buena Vista,,13
President/Vice President,,Vacek,LMN,county,Buena Vista,,4
President/Vice President,,De La Fuente,PEC,county,Buena Vista,,1
President/Vice President,,La Riva,PSL,county,Buena Vista,,0
President/Vice President,,Trump,GOP,county,Butler,,4918
President/Vice President,,Clinton,Dem,county,Butler,,2163
President/Vice President,,Johnson,Lib,county,Butler,,217
President/Vice President,,McMullin,PEC,county,Butler,,50
President/Vice President,,Castle,CST,county,Butler,,47
President/Vice President,,Stein,Grn,county,Butler,,43
President/Vice President,,Vacek,LMN,county,Butler,,11
President/Vice President,,Kahn,Oth,county,Butler,,5
President/Vice President,,De La Fuente,PEC,county,Butler,,3
President/Vice President,,La Riva,PSL,county,Butler,,0
President/Vice President,,Trump,GOP,county,Hardin,,5231
President/Vice President,,Clinton,Dem,county,Hardin,,2774
President/Vice President,,Johnson,Lib,county,Hardin,,294
President/Vice President,,McMullin,PEC,county,Hardin,,68
President/Vice President,,Stein,Grn,county,Hardin,,28
President/Vice President,,Kahn,Oth,county,Hardin,,9
President/Vice President,,Castle,CST,county,Hardin,,8
President/Vice President,,De La Fuente,PEC,county,Hardin,,4
President/Vice President,,La Riva,PSL,county,Hardin,,4
President/Vice President,,Vacek,LMN,county,Hardin,,3
President/Vice President,,Trump,GOP,county,Hancock,,3972
President/Vice President,,Clinton,Dem,county,Hancock,,1582
President/Vice President,,Johnson,Lib,county,Hancock,,165
President/Vice President,,McMullin,PEC,county,Hancock,,29
President/Vice President,,Castle,CST,county,Hancock,,23
President/Vice President,,Stein,Grn,county,Hancock,,22
President/Vice President,,Kahn,Oth,county,Hancock,,13
President/Vice President,,Vacek,LMN,county,Hancock,,8
President/Vice President,,De La Fuente,PEC,county,Hancock,,1
President/Vice President,,La Riva,PSL,county,Hancock,,0
President/Vice President,,Trump,GOP,county,Henry,,5764
President/Vice President,,Clinton,Dem,county,Henry,,2897
President/Vice President,,Johnson,Lib,county,Henry,,336
President/Vice President,,Stein,Grn,county,Henry,,113
President/Vice President,,McMullin,PEC,county,Henry,,99
President/Vice President,,Castle,CST,county,Henry,,40
President/Vice President,,Vacek,LMN,county,Henry,,15
President/Vice President,,Kahn,Oth,county,Henry,,14
President/Vice President,,De La Fuente,PEC,county,Henry,,4
President/Vice President,,La Riva,PSL,county,Henry,,4
President/Vice President,,Trump,GOP,county,Harrison,,4892
President/Vice President,,Clinton,Dem,county,Harrison,,2123
President/Vice President,,Johnson,Lib,county,Harrison,,209
President/Vice President,,Stein,Grn,county,Harrison,,50
President/Vice President,,McMullin,PEC,county,Harrison,,39
President/Vice President,,Castle,CST,county,Harrison,,37
President/Vice President,,Kahn,Oth,county,Harrison,,17
President/Vice President,,Vacek,LMN,county,Harrison,,7
President/Vice President,,De La Fuente,PEC,county,Harrison,,3
President/Vice President,,La Riva,PSL,county,Harrison,,1
President/Vice President,,Trump,GOP,county,Howard,,2611
President/Vice President,,Clinton,Dem,county,Howard,,1674
President/Vice President,,Johnson,Lib,county,Howard,,130
President/Vice President,,Stein,Grn,county,Howard,,38
President/Vice President,,Castle,CST,county,Howard,,15
President/Vice President,,McMullin,PEC,county,Howard,,14
President/Vice President,,Vacek,LMN,county,Howard,,13
President/Vice President,,Kahn,Oth,county,Howard,,11
President/Vice President,,La Riva,PSL,county,Howard,,1
President/Vice President,,De La Fuente,PEC,county,Howard,,0
President/Vice President,,Trump,GOP,county,Muscatine,,9549
President/Vice President,,Clinton,Dem,county,Muscatine,,8284
President/Vice President,,Johnson,Lib,county,Muscatine,,741
President/Vice President,,Stein,Grn,county,Muscatine,,180
President/Vice President,,McMullin,PEC,county,Muscatine,,136
President/Vice President,,Castle,CST,county,Muscatine,,86
President/Vice President,,Vacek,LMN,county,Muscatine,,60
President/Vice President,,Kahn,Oth,county,Muscatine,,41
President/Vice President,,La Riva,PSL,county,Muscatine,,6
President/Vice President,,De La Fuente,PEC,county,Muscatine,,3
President/Vice President,,Trump,GOP,county,Montgomery,,3431
President/Vice President,,Clinton,Dem,county,Montgomery,,1312
President/Vice President,,Johnson,Lib,county,Montgomery,,152
President/Vice President,,Stein,Grn,county,Montgomery,,38
President/Vice President,,McMullin,PEC,county,Montgomery,,27
President/Vice President,,Castle,CST,county,Montgomery,,21
President/Vice President,,Kahn,Oth,county,Montgomery,,8
President/Vice President,,Vacek,LMN,county,Montgomery,,5
President/Vice President,,La Riva,PSL,county,Montgomery,,3
President/Vice President,,De La Fuente,PEC,county,Montgomery,,1
President/Vice President,,Trump,GOP,county,Monroe,,2635
President/Vice President,,Clinton,Dem,county,Monroe,,1053
President/Vice President,,Johnson,Lib,county,Monroe,,104
President/Vice President,,Castle,CST,county,Monroe,,20
President/Vice President,,McMullin,PEC,county,Monroe,,14
President/Vice President,,Stein,Grn,county,Monroe,,13
President/Vice President,,Vacek,LMN,county,Monroe,,3
President/Vice President,,Kahn,Oth,county,Monroe,,1
President/Vice President,,De La Fuente,PEC,county,Monroe,,1
President/Vice President,,La Riva,PSL,county,Monroe,,0
President/Vice President,,Trump,GOP,county,Monona,,3115
President/Vice President,,Clinton,Dem,county,Monona,,1244
President/Vice President,,Johnson,Lib,county,Monona,,112
President/Vice President,,Stein,Grn,county,Monona,,22
President/Vice President,,McMullin,PEC,county,Monona,,12
President/Vice President,,Castle,CST,county,Monona,,10
President/Vice President,,Vacek,LMN,county,Monona,,4
President/Vice President,,Kahn,Oth,county,Monona,,4
President/Vice President,,La Riva,PSL,county,Monona,,2
President/Vice President,,De La Fuente,PEC,county,Monona,,0
President/Vice President,,Trump,GOP,county,Mitchell,,3180
President/Vice President,,Clinton,Dem,county,Mitchell,,1879
President/Vice President,,Johnson,Lib,county,Mitchell,,209
President/Vice President,,Stein,Grn,county,Mitchell,,28
President/Vice President,,McMullin,PEC,county,Mitchell,,24
President/Vice President,,Castle,CST,county,Mitchell,,16
President/Vice President,,Kahn,Oth,county,Mitchell,,13
President/Vice President,,Vacek,LMN,county,Mitchell,,10
President/Vice President,,De La Fuente,PEC,county,Mitchell,,1
President/Vice President,,La Riva,PSL,county,Mitchell,,0
President/Vice President,,Trump,GOP,county,Clarke,,2706
President/Vice President,,Clinton,Dem,county,Clarke,,1463
President/Vice President,,Johnson,Lib,county,Clarke,,159
President/Vice President,,Castle,CST,county,Clarke,,26
President/Vice President,,McMullin,PEC,county,Clarke,,20
President/Vice President,,Stein,Grn,county,Clarke,,18
President/Vice President,,Kahn,Oth,county,Clarke,,9
President/Vice President,,Vacek,LMN,county,Clarke,,4
President/Vice President,,De La Fuente,PEC,county,Clarke,,0
President/Vice President,,La Riva,PSL,county,Clarke,,0
President/Vice President,,Trump,GOP,county,Chickasaw,,3739
President/Vice President,,Clinton,Dem,county,Chickasaw,,2264
President/Vice President,,Johnson,Lib,county,Chickasaw,,236
President/Vice President,,Stein,Grn,county,Chickasaw,,48
President/Vice President,,Castle,CST,county,Chickasaw,,33
President/Vice President,,McMullin,PEC,county,Chickasaw,,28
President/Vice President,,Kahn,Oth,county,Chickasaw,,10
President/Vice President,,Vacek,LMN,county,Chickasaw,,5
President/Vice President,,La Riva,PSL,county,Chickasaw,,3
President/Vice President,,De La Fuente,PEC,county,Chickasaw,,1
President/Vice President,,Trump,GOP,county,Cherokee,,4188
President/Vice President,,Clinton,Dem,county,Cherokee,,1676
President/Vice President,,Johnson,Lib,county,Cherokee,,206
President/Vice President,,McMullin,PEC,county,Cherokee,,41
President/Vice President,,Castle,CST,county,Cherokee,,29
President/Vice President,,Stein,Grn,county,Cherokee,,29
President/Vice President,,Kahn,Oth,county,Cherokee,,9
President/Vice President,,Vacek,LMN,county,Cherokee,,7
President/Vice President,,De La Fuente,PEC,county,Cherokee,,1
President/Vice President,,La Riva,PSL,county,Cherokee,,0
President/Vice President,,Trump,GOP,county,Cerro Gordo,,11583
President/Vice President,,Clinton,Dem,county,Cerro Gordo,,9840
President/Vice President,,Johnson,Lib,county,Cerro Gordo,,843
President/Vice President,,McMullin,PEC,county,Cerro Gordo,,141
President/Vice President,,Stein,Grn,county,Cerro Gordo,,128
President/Vice President,,Kahn,Oth,county,Cerro Gordo,,42
President/Vice President,,Castle,CST,county,Cerro Gordo,,25
President/Vice President,,Vacek,LMN,county,Cerro Gordo,,21
President/Vice President,,De La Fuente,PEC,county,Cerro Gordo,,8
President/Vice President,,La Riva,PSL,county,Cerro Gordo,,2
President/Vice President,,Trump,GOP,county,Cedar,,5275
President/Vice President,,Clinton,Dem,county,Cedar,,3578
President/Vice President,,Johnson,Lib,county,Cedar,,362
President/Vice President,,Stein,Grn,county,Cedar,,70
President/Vice President,,McMullin,PEC,county,Cedar,,38
President/Vice President,,Castle,CST,county,Cedar,,35
President/Vice President,,Vacek,LMN,county,Cedar,,16
President/Vice President,,Kahn,Oth,county,Cedar,,10
President/Vice President,,De La Fuente,PEC,county,Cedar,,2
President/Vice President,,La Riva,PSL,county,Cedar,,0
President/Vice President,,Trump,GOP,county,Jasper,,10556
President/Vice President,,Clinton,Dem,county,Jasper,,7108
President/Vice President,,Johnson,Lib,county,Jasper,,715
President/Vice President,,Stein,Grn,county,Jasper,,95
President/Vice President,,McMullin,PEC,county,Jasper,,91
President/Vice President,,Castle,CST,county,Jasper,,90
President/Vice President,,Vacek,LMN,county,Jasper,,76
President/Vice President,,Kahn,Oth,county,Jasper,,39
President/Vice President,,De La Fuente,PEC,county,Jasper,,4
President/Vice President,,La Riva,PSL,county,Jasper,,2
President/Vice President,,Trump,GOP,county,Iowa,,5193
President/Vice President,,Clinton,Dem,county,Iowa,,3070
President/Vice President,,Johnson,Lib,county,Iowa,,315
President/Vice President,,Castle,CST,county,Iowa,,68
President/Vice President,,Stein,Grn,county,Iowa,,61
President/Vice President,,McMullin,PEC,county,Iowa,,54
President/Vice President,,Kahn,Oth,county,Iowa,,13
President/Vice President,,Vacek,LMN,county,Iowa,,9
President/Vice President,,De La Fuente,PEC,county,Iowa,,6
President/Vice President,,La Riva,PSL,county,Iowa,,0
President/Vice President,,Trump,GOP,county,Jackson,,5821
President/Vice President,,Clinton,Dem,county,Jackson,,3837
President/Vice President,,Johnson,Lib,county,Jackson,,318
President/Vice President,,Stein,Grn,county,Jackson,,85
President/Vice President,,McMullin,PEC,county,Jackson,,55
President/Vice President,,Castle,CST,county,Jackson,,53
President/Vice President,,Vacek,LMN,county,Jackson,,14
President/Vice President,,Kahn,Oth,county,Jackson,,12
President/Vice President,,De La Fuente,PEC,county,Jackson,,7
President/Vice President,,La Riva,PSL,county,Jackson,,2
President/Vice President,,Trump,GOP,county,Humboldt,,3564
President/Vice President,,Clinton,Dem,county,Humboldt,,1251
President/Vice President,,Johnson,Lib,county,Humboldt,,127
President/Vice President,,McMullin,PEC,county,Humboldt,,40
President/Vice President,,Stein,Grn,county,Humboldt,,20
President/Vice President,,Castle,CST,county,Humboldt,,13
President/Vice President,,Kahn,Oth,county,Humboldt,,8
President/Vice President,,Vacek,LMN,county,Humboldt,,6
President/Vice President,,De La Fuente,PEC,county,Humboldt,,2
President/Vice President,,La Riva,PSL,county,Humboldt,,2
President/Vice President,,Trump,GOP,county,Ida,,2655
President/Vice President,,Clinton,Dem,county,Ida,,792
President/Vice President,,Johnson,Lib,county,Ida,,103
President/Vice President,,McMullin,PEC,county,Ida,,15
President/Vice President,,Stein,Grn,county,Ida,,9
President/Vice President,,Castle,CST,county,Ida,,8
President/Vice President,,Vacek,LMN,county,Ida,,4
President/Vice President,,Kahn,Oth,county,Ida,,2
President/Vice President,,La Riva,PSL,county,Ida,,2
President/Vice President,,De La Fuente,PEC,county,Ida,,0
President/Vice President,,Trump,GOP,county,Mills,,5050
President/Vice President,,Clinton,Dem,county,Mills,,2080
President/Vice President,,Johnson,Lib,county,Mills,,303
President/Vice President,,McMullin,PEC,county,Mills,,76
President/Vice President,,Stein,Grn,county,Mills,,56
President/Vice President,,Castle,CST,county,Mills,,26
President/Vice President,,Vacek,LMN,county,Mills,,8
President/Vice President,,Kahn,Oth,county,Mills,,7
President/Vice President,,De La Fuente,PEC,county,Mills,,2
President/Vice President,,La Riva,PSL,county,Mills,,0
President/Vice President,,Trump,GOP,county,Madison,,5336
President/Vice President,,Clinton,Dem,county,Madison,,2666
President/Vice President,,Johnson,Lib,county,Madison,,344
President/Vice President,,McMullin,PEC,county,Madison,,81
President/Vice President,,Stein,Grn,county,Madison,,41
President/Vice President,,Castle,CST,county,Madison,,37
President/Vice President,,Kahn,Oth,county,Madison,,11
President/Vice President,,Vacek,LMN,county,Madison,,5
President/Vice President,,De La Fuente,PEC,county,Madison,,1
President/Vice President,,La Riva,PSL,county,Madison,,1
President/Vice President,,Trump,GOP,county,Mahaska,,7404
President/Vice President,,Clinton,Dem,county,Mahaska,,2606
President/Vice President,,Johnson,Lib,county,Mahaska,,316
President/Vice President,,McMullin,PEC,county,Mahaska,,73
President/Vice President,,Stein,Grn,county,Mahaska,,38
President/Vice President,,Castle,CST,county,Mahaska,,35
President/Vice President,,Kahn,Oth,county,Mahaska,,13
President/Vice President,,Vacek,LMN,county,Mahaska,,9
President/Vice President,,De La Fuente,PEC,county,Mahaska,,0
President/Vice President,,La Riva,PSL,county,Mahaska,,0
President/Vice President,,Trump,GOP,county,Marion,,10940
President/Vice President,,Clinton,Dem,county,Marion,,5469
President/Vice President,,Johnson,Lib,county,Marion,,703
President/Vice President,,McMullin,PEC,county,Marion,,203
President/Vice President,,Castle,CST,county,Marion,,111
President/Vice President,,Stein,Grn,county,Marion,,73
President/Vice President,,Kahn,Oth,county,Marion,,28
President/Vice President,,Vacek,LMN,county,Marion,,19
President/Vice President,,De La Fuente,PEC,county,Marion,,7
President/Vice President,,La Riva,PSL,county,Marion,,1
President/Vice President,,Trump,GOP,county,Marshall,,9125
President/Vice President,,Clinton,Dem,county,Marshall,,7623
President/Vice President,,Johnson,Lib,county,Marshall,,576
President/Vice President,,Stein,Grn,county,Marshall,,117
President/Vice President,,McMullin,PEC,county,Marshall,,104
President/Vice President,,Castle,CST,county,Marshall,,77
President/Vice President,,Vacek,LMN,county,Marshall,,34
President/Vice President,,Kahn,Oth,county,Marshall,,33
President/Vice President,,La Riva,PSL,county,Marshall,,7
President/Vice President,,De La Fuente,PEC,county,Marshall,,4
President/Vice President,,Trump,GOP,county,Audubon,,2135
President/Vice President,,Clinton,Dem,county,Audubon,,1079
President/Vice President,,Johnson,Lib,county,Audubon,,106
President/Vice President,,Stein,Grn,county,Audubon,,24
President/Vice President,,Castle,CST,county,Audubon,,17
President/Vice President,,McMullin,PEC,county,Audubon,,9
President/Vice President,,Vacek,LMN,county,Audubon,,4
President/Vice President,,Kahn,Oth,county,Audubon,,2
President/Vice President,,De La Fuente,PEC,county,Audubon,,2
President/Vice President,,La Riva,PSL,county,Audubon,,1
President/Vice President,,Trump,GOP,county,Adams,,1393
President/Vice President,,Clinton,Dem,county,Adams,,565
President/Vice President,,Johnson,Lib,county,Adams,,93
President/Vice President,,Castle,CST,county,Adams,,13
President/Vice President,,Stein,Grn,county,Adams,,9
President/Vice President,,McMullin,PEC,county,Adams,,6
President/Vice President,,Vacek,LMN,county,Adams,,1
President/Vice President,,Kahn,Oth,county,Adams,,1
President/Vice President,,De La Fuente,PEC,county,Adams,,1
President/Vice President,,La Riva,PSL,county,Adams,,0
President/Vice President,,Trump,GOP,county,Adair,,2456
President/Vice President,,Clinton,Dem,county,Adair,,1127
President/Vice President,,Johnson,Lib,county,Adair,,125
President/Vice President,,Stein,Grn,county,Adair,,13
President/Vice President,,Castle,CST,county,Adair,,10
President/Vice President,,Vacek,LMN,county,Adair,,10
President/Vice President,,McMullin,PEC,county,Adair,,10
President/Vice President,,Kahn,Oth,county,Adair,,5
President/Vice President,,De La Fuente,PEC,county,Adair,,3
President/Vice President,,La Riva,PSL,county,Adair,,0
President/Vice President,,Trump,GOP,county,Appanoose,,4031
President/Vice President,,Clinton,Dem,county,Appanoose,,1813
President/Vice President,,Johnson,Lib,county,Appanoose,,139
President/Vice President,,Stein,Grn,county,Appanoose,,42
President/Vice President,,Castle,CST,county,Appanoose,,25
President/Vice President,,McMullin,PEC,county,Appanoose,,24
President/Vice President,,Vacek,LMN,county,Appanoose,,11
President/Vice President,,Kahn,Oth,county,Appanoose,,8
President/Vice President,,La Riva,PSL,county,Appanoose,,2
President/Vice President,,De La Fuente,PEC,county,Appanoose,,1
President/Vice President,,Trump,GOP,county,Allamakee,,4072
President/Vice President,,Clinton,Dem,county,Allamakee,,2409
President/Vice President,,Johnson,Lib,county,Allamakee,,224
President/Vice President,,Stein,Grn,county,Allamakee,,46
President/Vice President,,Castle,CST,county,Allamakee,,35
President/Vice President,,McMullin,PEC,county,Allamakee,,34
President/Vice President,,Kahn,Oth,county,Allamakee,,10
President/Vice President,,Vacek,LMN,county,Allamakee,,5
President/Vice President,,De La Fuente,PEC,county,Allamakee,,1
President/Vice President,,La Riva,PSL,county,Allamakee,,1
President/Vice President,,Total,,county,Adair,,3759
President/Vice President,,Total,,county,Adams,,2082
President/Vice President,,Total,,county,Allamakee,,6837
President/Vice President,,Total,,county,Appanoose,,6096
President/Vice President,,Total,,county,Audubon,,3379
President/Vice President,,Total,,county,Benton,,13690
President/Vice President,,Total,,county,Black Hawk,,63221
President/Vice President,,Total,,county,Boone,,13984
President/Vice President,,Total,,county,Bremer,,13350
President/Vice President,,Total,,county,Buchanan,,10137
President/Vice President,,Total,,county,Buena Vista,,8179
President/Vice President,,Total,,county,Butler,,7457
President/Vice President,,Total,,county,Calhoun,,5105
President/Vice President,,Total,,county,Carroll,,10435
President/Vice President,,Total,,county,Cass,,7055
President/Vice President,,Total,,county,Cedar,,9386
President/Vice President,,Total,,county,Cerro Gordo,,22633
President/Vice President,,Total,,county,Cherokee,,6186
President/Vice President,,Total,,county,Chickasaw,,6367
President/Vice President,,Total,,county,Clarke,,4405
President/Vice President,,Total,,county,Clay,,8542
President/Vice President,,Total,,county,Clayton,,9098
President/Vice President,,Total,,county,Clinton,,22748
President/Vice President,,Total,,county,Crawford,,6862
President/Vice President,,Total,,county,Dallas,,37617
President/Vice President,,Total,,county,Davis,,3858
President/Vice President,,Total,,county,Decatur,,3703
President/Vice President,,Total,,county,Delaware,,9165
President/Vice President,,Total,,county,Des Moines,,18713
President/Vice President,,Total,,county,Dickinson,,10247
President/Vice President,,Total,,county,Dubuque,,49037
President/Vice President,,Total,,county,Emmet,,4707
President/Vice President,,Total,,county,Fayette,,9813
President/Vice President,,Total,,county,Floyd,,7985
President/Vice President,,Total,,county,Franklin,,4915
President/Vice President,,Total,,county,Fremont,,3554
President/Vice President,,Total,,county,Greene,,4762
President/Vice President,,Total,,county,Grundy,,6766
President/Vice President,,Total,,county,Guthrie,,5654
President/Vice President,,Total,,county,Hamilton,,7589
President/Vice President,,Total,,county,Hancock,,5815
President/Vice President,,Total,,county,Hardin,,8423
President/Vice President,,Total,,county,Harrison,,7378
President/Vice President,,Total,,county,Henry,,9286
President/Vice President,,Total,,county,Howard,,4507
